,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Id,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm,eFG%
0,1.4,0.371,3.9,0.0,0.0,0.0,0.9,23.0,0.0,0.0,1.4,0.371,3.9,1.1,0.667,1.7,9.0,0.0,vacenst01,ABA,8.1,0.0,1.6,4.0,PG,0.0,1967-68,1.0,1.7,PTP,0.371
1,4.8,0.40399999999999997,11.8,0.0,0.25,0.1,2.8,24.0,0.0,2.0,4.8,0.402,11.9,2.8,0.777,3.6,60.0,0.0,vacenst01,ABA,26.5,1.5,2.6,12.4,PG,0.0,1968-69,2.3,3.5,MNP,0.40399999999999997
2,1.1,0.263,4.1,0.0,0.0,0.1,1.4,25.0,0.0,0.6,1.1,0.254,4.2,0.9,0.591,1.6,14.0,0.0,vacenst01,ABA,12.4,0.4,1.6,3.1,PG,0.0,1969-70,0.7,0.9,TOT,0.254
3,1.0,0.154,6.5,0.0,0.0,0.0,1.5,25.0,0.0,0.0,1.0,0.154,6.5,1.0,1.0,1.0,2.0,0.0,vacenst01,ABA,18.0,0.5,2.0,3.0,PG,0.0,1969-70,1.0,0.5,PTP,0.154
4,1.1,0.295,3.7,0.0,0.0,0.2,1.4,25.0,0.0,0.7,1.1,0.28300000000000003,3.8,0.9,0.55,1.7,12.0,0.0,vacenst01,ABA,11.4,0.3,1.5,3.1,PG,0.0,1969-70,0.7,1.0,MMF,0.28300000000000003
0,3.3,0.557,5.9,0.0,0.0,0.0,0.7,20.0,1.3,4.0,3.3,0.557,5.9,2.4,0.789,3.0,62.0,57.0,valanjo01,NBA,23.9,2.0,3.0,8.9,C,0.3,2012-13,1.5,6.0,TOR,0.557
1,4.4,0.532,8.3,0.0,0.0,0.0,0.7,21.0,0.9,6.0,4.4,0.531,8.3,2.4,0.762,3.2,81.0,81.0,valanjo01,NBA,28.2,2.8,3.1,11.3,C,0.3,2013-14,1.7,8.8,TOR,0.531
2,4.7,0.573,8.1,0.0,0.0,0.0,0.5,22.0,1.2,6.0,4.7,0.5720000000000001,8.2,2.7,0.7859999999999999,3.5,80.0,80.0,valanjo01,NBA,26.2,2.7,2.8,12.0,C,0.4,2014-15,1.4,8.7,TOR,0.5720000000000001
3,5.1,0.565,8.9,0.0,0.0,0.0,0.7,23.0,1.3,6.1,5.1,0.565,8.9,2.7,0.7609999999999999,3.6,60.0,59.0,valanjo01,NBA,26.0,3.1,2.6,12.8,C,0.4,2015-16,1.4,9.1,TOR,0.565
4,4.9,0.557,8.8,0.0,0.5,0.0,0.7,24.0,0.8,6.7,4.9,0.557,8.8,2.2,0.8109999999999999,2.7,80.0,80.0,valanjo01,NBA,25.8,2.8,2.7,12.0,C,0.5,2016-17,1.3,9.5,TOR,0.5579999999999999
5,4.7,0.5870000000000001,8.0,0.4,0.405,1.0,1.1,25.0,0.9,6.2,5.1,0.568,8.9,2.2,0.8059999999999999,2.7,77.0,77.0,valanjo01,NBA,22.4,2.4,2.5,12.7,C,0.4,2017-18,1.5,8.6,TOR,0.59
0,2.3,0.42100000000000004,5.4,0.0,0.0,0.1,3.3,22.0,0.0,1.2,2.3,0.413,5.5,1.9,0.76,2.4,82.0,14.0,valenda01,NBA,16.9,0.6,2.3,6.4,PG,1.1,1981-82,1.5,1.8,POR,0.413
1,4.4,0.455,9.8,0.0,0.0,0.0,6.2,23.0,0.1,1.8,4.4,0.45399999999999996,9.8,3.6,0.7929999999999999,4.5,47.0,36.0,valenda01,NBA,27.6,0.7,3.0,12.5,PG,2.1,1982-83,2.8,2.5,POR,0.45399999999999996
2,3.7,0.45,8.2,0.0,0.0,0.0,5.8,24.0,0.1,1.1,3.7,0.447,8.3,2.9,0.789,3.6,68.0,60.0,valenda01,NBA,27.8,0.7,2.6,10.2,PG,1.6,1983-84,2.2,1.9,POR,0.447
3,4.3,0.474,9.0,0.0,0.0,0.0,7.0,25.0,0.1,2.2,4.3,0.473,9.1,3.1,0.7929999999999999,3.9,75.0,59.0,valenda01,NBA,30.4,0.7,2.5,11.6,PG,1.9,1984-85,2.6,2.9,POR,0.473
4,2.5,0.42,6.0,0.1,0.28600000000000003,0.2,4.0,26.0,0.0,1.5,2.6,0.415,6.3,2.1,0.743,2.8,62.0,29.0,valenda01,NBA,19.6,0.5,2.0,7.4,PG,1.2,1985-86,1.9,2.0,TOT,0.42
5,3.3,0.44799999999999995,7.3,0.0,0.33299999999999996,0.1,5.0,26.0,0.0,1.9,3.3,0.447,7.4,2.5,0.71,3.6,28.0,27.0,valenda01,NBA,26.2,0.7,2.8,9.1,PG,1.8,1985-86,2.1,2.6,POR,0.449
6,1.9,0.386,5.0,0.1,0.273,0.3,3.1,26.0,0.0,1.2,2.0,0.379,5.4,1.7,0.787,2.2,34.0,2.0,valenda01,NBA,14.2,0.4,1.3,5.9,PG,0.7,1985-86,1.7,1.6,LAC,0.387
7,4.0,0.426,9.5,0.2,0.23199999999999998,0.9,6.9,27.0,0.2,1.7,4.2,0.41,10.3,2.5,0.815,3.1,65.0,52.0,valenda01,NBA,27.1,0.6,2.3,11.2,PG,1.8,1986-87,2.6,2.3,LAC,0.42
8,2.6,0.41600000000000004,6.3,0.2,0.455,0.4,4.8,28.0,0.1,1.5,2.8,0.418,6.7,1.3,0.743,1.7,79.0,31.0,valenda01,NBA,20.7,0.5,1.7,7.1,PG,1.5,1987-88,1.9,2.0,LAC,0.43200000000000005
9,1.7,0.436,4.0,0.0,0.214,0.2,2.3,29.0,0.1,1.1,1.8,0.426,4.1,1.2,0.813,1.5,77.0,4.0,valenda01,NBA,14.1,0.3,1.1,4.8,SG,0.7,1988-89,1.1,1.3,CLE,0.431
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,valenda01,0,0.0,0.0,0.0,0.0,0,0.0,1989-90,0.0,0.0,Did Not Play,0.0
11,3.4,0.47600000000000003,7.2,0.1,0.24,0.4,5.4,31.0,0.2,2.1,3.5,0.46399999999999997,7.6,2.2,0.831,2.6,65.0,60.0,valenda01,NBA,28.3,0.6,2.6,9.4,PG,1.5,1990-91,1.9,2.6,CLE,0.47
0,0.5,0.363,1.4,1.3,0.35100000000000003,3.6,1.1,23.0,0.1,2.5,1.8,0.354,5.1,0.2,0.778,0.3,57.0,0.0,valende01,NBA,17.1,0.2,1.5,5.1,SG,0.5,2016-17,0.9,2.6,CHI,0.48100000000000004
1,2.1,0.45,4.6,1.9,0.386,4.8,3.2,24.0,0.1,4.5,3.9,0.41700000000000004,9.4,0.5,0.745,0.7,77.0,37.0,valende01,NBA,27.2,0.6,2.4,10.2,SG,0.8,2017-18,1.3,5.1,CHI,0.517
0,1.5,0.375,4.0,0.0,0.5,0.1,0.3,23.0,0.2,0.8,1.5,0.37799999999999995,4.1,0.4,0.474,0.8,24.0,0.0,valenro01,NBA,5.1,0.4,1.0,3.5,SF,0.3,1980-81,0.7,1.3,DEN,0.38299999999999995
0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,22.0,0.0,0.0,1.4,0.358,4.0,0.9,0.763,1.2,51.0,0.0,vallejo01,NBA,8.4,0.0,1.0,3.7,SG,0.0,1970-71,0.0,0.7,ATL,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,23.0,0.0,0.0,1.4,0.40399999999999997,3.5,0.6,0.667,0.9,49.0,0.0,vallejo01,NBA,7.5,0.0,1.0,3.4,SG,0.0,1971-72,0.0,0.7,TOT,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,2.2,0.465,4.8,1.4,0.65,2.2,9.0,0.0,vallejo01,NBA,12.2,0.0,1.4,5.9,SG,0.0,1971-72,0.0,1.2,ATL,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,23.0,0.0,0.0,1.2,0.38299999999999995,3.2,0.4,0.68,0.6,40.0,0.0,vallejo01,NBA,6.4,0.0,0.9,2.9,SG,0.0,1971-72,0.0,0.5,HOU,0.0
